City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Saravan,39.7196,45.6483,30.85,88,96,1.05,AM,2021-11-28 19:42:42
1,Qaanaaq,77.484,-69.3632,-8.3,79,25,7.85,GL,2021-11-28 19:37:46
2,Atuona,-9.8,-139.0333,78.33,74,1,18.88,PF,2021-11-28 19:42:43
3,Sambava,-14.2667,50.1667,77.05,85,47,8.39,MG,2021-11-28 19:40:52
4,Pevek,69.7008,170.3133,1.45,84,100,1.45,RU,2021-11-28 19:42:43
5,Bluff,-46.6,168.3333,54.57,70,53,18.54,NZ,2021-11-28 19:42:44
6,Tuktoyaktuk,69.4541,-133.0374,-9.4,77,75,17.27,CA,2021-11-28 19:42:44
7,Aksu,41.1231,80.2644,26.94,59,4,3.67,CN,2021-11-28 19:42:44
8,Hailar,49.2,119.7,4.91,98,93,6.08,CN,2021-11-28 19:42:45
9,Vila Franca Do Campo,37.7167,-25.4333,61.21,70,96,4.92,PT,2021-11-28 19:37:50
10,Castro,-24.7911,-50.0119,81.28,48,78,4.14,BR,2021-11-28 19:42:46
11,Goundam,16.4145,-3.6708,83.95,15,100,10.96,ML,2021-11-28 19:42:46
12,Williams Lake,52.1415,-122.1445,40.57,100,75,12.66,CA,2021-11-28 19:42:46
13,Turan,16.0678,108.2208,73.38,94,75,14.97,VN,2021-11-28 19:38:54
14,Punta Arenas,-53.15,-70.9167,50.11,57,75,29.93,CL,2021-11-28 19:40:54
15,Mataura,-46.1927,168.8643,53.67,61,94,2.19,NZ,2021-11-28 19:42:47
16,Mirante Do Paranapanema,-22.2919,-51.9064,96.73,28,83,6.49,BR,2021-11-28 19:42:47
17,Saint-Pierre,-21.3393,55.4781,76.68,78,20,5.75,RE,2021-11-28 19:42:48
18,Ponta Delgada,37.7333,-25.6667,61.52,72,75,6.91,PT,2021-11-28 19:39:19
19,Santiago,-33.4569,-70.6483,85.44,18,0,5.75,CL,2021-11-28 19:42:48
20,Barrow,71.2906,-156.7887,-11.18,70,90,10.36,US,2021-11-28 19:42:49
21,Butaritari,3.0707,172.7902,81.5,78,79,13.24,KI,2021-11-28 19:42:49
22,Homer,59.6425,-151.5483,12.09,85,90,19.57,US,2021-11-28 19:42:49
23,Ostrovnoy,68.0531,39.5131,16.0,83,100,8.32,RU,2021-11-28 19:42:50
